meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,lap_time
1257,10009,1,1,2025-04-12T12:46:56.149000+00:00,,53.171,25.535,148.0,200.0,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",183.0,N/A
1257,10009,1,2,2025-04-12T12:48:53.330000+00:00,29.692,48.67,31.884,237.0,186.0,False,110.246,"[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2051, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2064]",315.0,1:50.246
1257,10009,1,3,2025-04-12T12:59:04.235000+00:00,,59.694,38.315,148.0,155.0,True,,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",164.0,N/A
1257,10009,1,4,2025-04-12T13:01:23.066000+00:00,48.925,77.46,27.816,118.0,183.0,False,154.201,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",180.0,2:34.201
1257,10009,1,5,2025-04-12T13:03:57.102000+00:00,29.879,40.25,23.429,234.0,270.0,False,93.558,"[2049, 2048, 2048, 2048, 2048, 2049, 2049, 2049, 2048, 2048]","[2048, 2048, 2051, 2049, 2051, 2048, 2048, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2048]",313.0,1:33.558
1257,10009,1,6,2025-04-12T13:05:31.309000+00:00,33.799,45.052,28.349,125.0,252.0,False,107.2,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",259.0,1:47.200
1257,10009,1,7,2025-04-12T13:15:30.942000+00:00,,53.063,26.145,161.0,163.0,True,,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 0]",135.0,N/A
1257,10009,1,8,2025-04-12T13:17:31.540000+00:00,29.558,40.128,23.341,237.0,269.0,False,93.027,"[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2049, 2049, 2048, 2049, 2048, 2048]","[2048, 2049, 2049, 2049, 2051, 2048, 2049]",314.0,1:33.027
1257,10009,1,9,2025-04-12T13:19:04.520000+00:00,45.114,69.682,33.249,126.0,156.0,False,148.045,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",186.0,2:28.045
1257,10009,1,10,2025-04-12T13:27:17.819000+00:00,,62.327,32.245,149.0,190.0,True,,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",132.0,N/A
1257,10009,1,11,2025-04-12T13:29:37.020000+00:00,29.647,57.446,30.111,236.0,170.0,False,117.204,"[2048, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",315.0,1:57.204
1257,10009,1,12,2025-04-12T13:31:34.197000+00:00,41.142,49.935,36.972,173.0,198.0,False,128.049,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",180.0,2:08.049
1257,10009,1,13,2025-04-12T13:33:42.269000+00:00,62.602,43.017,27.929,236.0,236.0,False,133.548,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",253.0,2:13.548
1257,10009,4,1,2025-04-12T12:45:51.789000+00:00,,58.527,32.434,144.0,178.0,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",206.0,N/A
1257,10009,4,2,2025-04-12T12:48:12.356000+00:00,29.962,40.554,23.28,238.0,268.0,False,93.796,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2051, 2049, 2049, 2049, 2051, 2049, 2049]","[2051, 2049, 2049, 2049, 2051, 2049, 2049]",309.0,1:33.796
1257,10009,4,3,2025-04-12T12:49:46.032000+00:00,47.454,65.029,37.552,134.0,143.0,False,150.035,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",148.0,2:30.035
1257,10009,4,4,2025-04-12T12:52:44.479000+00:00,72.297,69.295,33.269,167.0,133.0,True,174.861,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",117.0,2:54.861
1257,10009,4,5,2025-04-12T12:55:11.159000+00:00,30.017,40.46,23.444,238.0,269.0,False,93.921,"[2049, 2049, 2049, 2049, 2048, 2048, 2049, 2049, 2048, 2049]","[2048, 2051, 2048, 2049, 2048, 2048, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2049, 2048, 2048, 2048]",310.0,1:33.921
1257,10009,4,6,2025-04-12T12:56:44.964000+00:00,36.68,41.649,23.622,222.0,243.0,False,101.951,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2049]",178.0,1:41.951
1257,10009,4,7,2025-04-12T12:58:26.974000+00:00,30.589,41.787,23.657,237.0,242.0,False,96.033,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2048]",299.0,1:36.033
1257,10009,4,8,2025-04-12T13:00:03.032000+00:00,30.855,66.283,37.679,238.0,129.0,False,134.817,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",296.0,2:14.817
